,0,1,2,3,4,5,6,7,8,9,10,11
-2071.778086_3445.402956,0.4114597750850241,0.008468347976009554,0.20316210144842353,0.002270684240748731,0.06676931455541818,8.758385682389374e-05,0.0052302362346464525,0.1333862808925291,6.955104875418813e-05,0.0009710096788085638,0.016859895295708516,0.15126521968710518
-2071.778086_3545.402956,0.4148818804998921,0.043169334128172726,0.00027498989528565454,0.03272056926957493,0.2818619887805137,4.720870957913677e-05,4.106176261159686e-05,0.10935429757500365,0.00128064881863855,0.0005485198712937516,0.05398865804908821,0.06183084264034606
-2071.778086_3645.402956,0.21598141463675713,0.003727528832072138,0.04307013573422107,0.20125633436746274,0.13927831623143133,0.030336762510132637,0.008225471886945904,0.0815882147773801,0.0005778277114915902,0.11464650246426024,0.03451461337088317,0.1267968774769619
-2071.778086_3745.402956,0.2564569685498726,0.0012821898936792675,0.006142688356506712,0.22690657917000004,0.1390837762943327,0.009408742170146426,0.00026647551322644817,0.063754918043273,0.003715533946882775,0.19352238876567301,0.045352369579336416,0.05410736971707064
-2071.778086_3845.402956,0.17612567386403835,0.000259135962374195,0.011773807904830536,0.18583761265668425,0.19752814820815232,0.07070938419317101,0.011380969583516606,0.17769948831437263,8.894579209451164e-05,0.024452376139920993,9.970855301901116e-05,0.1440447488278257
-2071.778086_3945.402956,0.29755149956940063,0.002645012826834359,0.05791080369703158,0.13191383922554464,0.05973235774972382,0.050892954414622035,0.010895030777753088,0.33792096567668,0.0014724783584061751,0.030345172740686818,0.003182437499298075,0.015537447464018785
-2071.778086_4045.402956,0.009093336688196512,0.012179394062279917,0.11932864329670767,0.15272123983631822,0.07093998607887415,0.10600833657579585,0.013475002208305397,0.37596243177712124,4.886644326133924e-05,0.019487925868907973,0.03397934230924636,0.08677549485498537
-2071.778086_4145.402956,0.07142438383987165,0.026171504314346714,7.241393480212475e-05,0.2108006585076993,0.04994876535526889,0.18066943236349892,0.00010320936548980173,0.3388232307991226,0.0023450617386843588,0.0028476255158256026,0.0014594230961671698,0.11533429116922275
-2071.778086_4245.402956,0.17894965061044646,0.01224147987670319,0.11244413953269622,0.20398541484850743,0.05896841463305618,0.027039030541201443,3.160426110486485e-05,0.3318736419243085,5.808261174977345e-05,3.323853485772451e-05,0.00392047307970997,0.07045482954565833
-2171.778086_2745.402956,0.14502553668541765,0.03593867693224208,0.21281201258140325,0.11869568002555082,0.0032977262631731855,0.17065219324848252,0.0006769352097454133,0.024369040613175488,0.00015376983878598842,0.07298264661417787,0.13194254922820986,0.08345323275963581
